movie_name,budget,revenue,runtime,year
ballet 422,0,0,75.0,2014
the tall man,18200000,0,106.0,2012
scenic route,0,0,82.0,2013
the kid,65000000,69700000,100.0,2019
wild card,30000000,0,92.0,2015
brick mansions,28000000,68896829,90.0,2014
planet 51,70000000,104945765,91.0,2009
digging for fire,0,0,85.0,2015
conan the barbarian,90000000,48795021,129.0,2011
conan the barbarian,20000000,68851475,129.0,2011
cantinflas,0,0,102.0,2014
madea's big happy family,25000000,53213633,106.0,2011
free birds,55000000,110000000,91.0,2013
righteous kill,60000000,73174566,101.0,2008
foxfire,0,258263,102.0,1996
star trek v: the final frontier,30000000,70200000,107.0,1989
friday the 13th part iii,4000000,36690067,95.0,1982
abduction,35000000,82087155,106.0,2011
the big wedding,35000000,21819348,89.0,2013
madea's witness protection,0,0,114.0,2012
playing it cool,0,0,94.0,2014
the pink panther 2,0,75871032,92.0,2009
texas chainsaw 3d,20000000,47241945,92.0,2013
"i, frankenstein",65000000,71154592,92.0,2014
the numbers station,10000000,0,89.0,2013
legendary,0,0,92.0,2010
and so it goes,30000000,25312387,94.0,2014
tamara,4750000,206871,98.0,2005
romeo & juliet,0,1162635,118.0,2013
fun size,14000000,11417362,86.0,2012
black gold,40000000,5446000,130.0,2011
free willy 3: the rescue,0,0,86.0,1997
nobody's fool,0,0,110.0,2018
bangkok dangerous,45000000,42487390,99.0,2008
girl most likely,0,0,103.0,2012
legends of oz: dorothy's return,70000000,18662027,88.0,2014
black rock,0,0,83.0,2012
manglehorn,4000000,143101,97.0,2015
serena,0,176391,109.0,2014
raze,0,0,87.0,2013
repentance,5000000,1189612,90.0,2014
getaway,18000000,10501938,123.0,2013
out of the dark,0,0,92.0,2014
the other man,15000000,1143856,88.0,2008
the reunion,6000000,0,94.0,2011
inside out,175000000,853708609,95.0,2011
beneath the darkness,7300000,0,80.0,2012
the avengers,220000000,1519557910,143.0,2012
the avengers,60000000,48522832,143.0,2012
airplane!,3500000,83453539,88.0,1980
rosemary's baby,0,0,137.0,1968
rosemary's baby,3200000,33395426,137.0,1968
the girl with the dragon tattoo,90000000,232617430,158.0,2009
short term 12,0,1600000,96.0,2013
thor,150000000,444115007,115.0,2011
captain america: the first avenger,140000000,370569774,124.0,2011
night of the living dead,114000,0,96.0,1968
night of the living dead,4200000,5835247,96.0,1968
the machinist,5000000,8203235,101.0,2004
the conversation,1600000,4420000,113.0,1974
iron man 2,200000000,623933331,124.0,2010
pi,60000,3221152,84.0,1998
charade,4000000,13474588,113.0,1963
apocalypto,40000000,120175290,139.0,2006
temple grandin,0,0,107.0,2010
the lincoln lawyer,40000000,85412898,118.0,2011
harold and maude,1200000,0,91.0,1971
the man who shot liberty valance,3200000,8000000,123.0,1962
escape from new york,6000000,50000000,99.0,1981
mississippi burning,15000000,34604000,128.0,1988
inside llewyn davis,11000000,32935319,104.0,2013
pride,0,7523634,119.0,2014
pride,0,0,119.0,2014
dead man walking,11000000,39363635,122.0,1995
grizzly man,0,0,103.0,2005
the imposter,0,0,99.0,2012
capote,7000000,49084830,114.0,2005
samsara,4000000,0,102.0,2011
the hours,25000000,108846072,110.0,2002
seven psychopaths,15000000,19422261,110.0,2012
bridget jones's diary,25000000,281929795,97.0,2001
the last waltz,0,321952,117.0,1978
lars and the real girl,12000000,11293663,106.0,2007
the look of silence,0,153516,103.0,2014
the virgin suicides,6000000,10409377,97.0,1999
fiddler on the roof,9000000,10404330,181.0,1971
the return of the living dead,4000000,14237000,91.0,1985
the long goodbye,0,0,112.0,1973
legends of the fall,30000000,160638883,133.0,1994
highlander,16000000,5900000,116.0,1986
