movie_name,budget,revenue,runtime,year
teen beach movie,0,0,110.0,2013
journey to the center of the earth,0,0,93.0,1959
journey to the center of the earth,45000000,101702060,93.0,1959
pollyanna,0,0,134.0,1960
high school musical 2,0,7000000,104.0,2007
halloweentown,0,0,84.0,1998
brother bear,100000000,250,85.0,2003
millions,0,6584159,98.0,2004
muppets most wanted,50000000,80383113,107.0,2014
the journey of natty gann,0,2135577,101.0,1985
secret of the wings,0,0,75.0,2012
cars 2,200000000,559852396,106.0,2011
tinker bell and the great fairy rescue,0,0,76.0,2010
adventures in babysitting,0,34368475,102.0,2016
dinosaur,127500000,354248063,82.0,2000
oliver & company,0,0,74.0,1988
monkey kingdom,0,16661077,81.0,2015
that darn cat!,0,0,116.0,1965
african cats,0,15240456,89.0,2011
newsies,15000000,0,121.0,1992
tuck everlasting,0,0,90.0,2002
the love bug,0,0,108.0,1968
the love bug,0,0,108.0,1968
high school musical 3: senior year,0,0,112.0,2008
return to oz,25000000,11137801,113.0,1985
blackbeard's ghost,0,0,106.0,1968
chimpanzee,0,0,78.0,2012
the absent-minded professor,0,0,92.0,1961
camp rock,0,0,94.0,2008
pooh's heffalump movie,0,0,68.0,2005
turner & hooch,0,71079915,97.0,1989
princess protection program,0,0,90.0,2009
diary of a wimpy kid,15000000,75700498,120.0,2010
the odd life of timothy green,0,51854875,105.0,2012
splash,8000000,69821334,111.0,1984
the princess diaries 2: royal engagement,40000000,95149435,113.0,2004
the black cauldron,25000000,21288692,80.0,1985
the game plan,22000000,147880543,110.0,2007
cinderella iii: a twist in time,8000000,0,74.0,2007
waking sleeping beauty,0,80,86.0,2009
the tigger movie,30000000,45554533,77.0,2000
escape to witch mountain,0,20000000,97.0,1975
101 dalmatians,54000000,320689294,103.0,1996
the last song,0,0,107.0,2010
george of the jungle,55000000,0,92.0,1997
the santa clause 2,65000000,172855065,104.0,2002
heavyweights,0,17689177,100.0,1995
ice princess,25000000,27645491,98.0,2005
bedtime stories,80000000,212874442,99.0,2008
cheaper by the dozen,40000000,190212113,98.0,2003
an extremely goofy movie,0,0,79.0,2000
twitches,0,0,86.0,2005
iron will,0,0,108.0,1994
aladdin and the king of thieves,0,0,81.0,1996
piglet's big movie,0,0,75.0,2003
because of winn-dixie,14000000,32645546,106.0,2005
mickey's once upon a christmas,0,0,66.0,1999
deep blue,0,0,105.0,2003
red tails,58000000,50365377,125.0,2012
lilo & stitch 2: stitch has a glitch,0,0,68.0,2005
doctor dolittle,71000000,294456605,85.0,1998
doctor dolittle,18000000,9000000,85.0,1998
brother bear 2,0,0,74.0,2006
camp rock 2: the final jam,0,0,97.0,2010
recess: school's out,10000000,44460850,82.0,2001
the adventures of huck finn,0,0,108.0,1993
big business,0,0,97.0,1988
bambi ii,0,0,75.0,2006
the cheetah girls,0,0,100.0,2003
hannah montana: the movie,35000000,155545279,102.0,2009
herbie rides again,0,0,88.0,1974
the apple dumpling gang,0,0,100.0,1975
101 dalmatians ii: patch's london adventure,0,0,74.0,2003
mighty joe young,90000000,0,114.0,1998
thumbelina,28000000,11373501,86.0,1994
the lizzie mcguire movie,17000000,55534455,94.0,2003
the cat from outer space,0,0,104.0,1978
rookie of the year,0,53579269,103.0,1993
sister act 2: back in the habit,38000000,57319029,107.0,1993
homeward bound ii: lost in san francisco,0,32709423,88.0,1996
jump in!,0,0,85.0,2007
the black hole,0,0,98.0,1979
the black hole,3500000,0,98.0,1979
the black hole,20000000,35841901,98.0,1979
lady and the tramp ii: scamp's adventure,0,0,69.0,2001
around the world in 80 days,110000000,72178895,120.0,2004
flubber,80000000,177977226,93.0,1997
the return of jafar,0,0,69.0,1994
aliens of the deep,0,0,100.0,2005
"mickey, donald, goofy: the three musketeers",0,0,68.0,2004
the little mermaid: ariel's beginning,0,0,77.0,2008
pooh's grand adventure: the search for christopher robin,0,0,76.0,1997
jack,45000000,58620973,122.0,1996
return to never land,20000000,109862682,72.0,2002
the shaggy dog,50000000,61112916,104.0,1959
herbie goes to monte carlo,0,0,105.0,1977
home on the range,110000000,103951461,76.0,2004
the little mermaid ii: return to the sea,0,0,75.0,2000
the cheetah girls: one world,0,0,90.0,2008
leroy & stitch,0,0,73.0,2006
herbie fully loaded,50000000,66002004,101.0,2005
a wrinkle in time,0,0,109.0,2018
benji the hunted,0,0,88.0,1987
the even stevens movie,0,0,93.0,2003
mars needs moms,150000000,38992758,88.0,2011
sharpay's fabulous adventure,0,0,90.0,2011
home alone 3,32000000,79082515,102.0,1997
beauty and the beast: the enchanted christmas,0,0,72.0,1997
stitch! the movie,0,0,60.0,2003
babes in toyland,0,0,106.0,1961
g-force,150000000,292817841,88.0,2009
snow dogs,33000000,0,99.0,2002
dr. dolittle 2,70000000,176104344,87.0,2001
camp nowhere,0,0,96.0,1994
honey i blew up the kid,40000000,58662452,89.0,1992
the computer wore tennis shoes,0,0,91.0,1969
102 dalmatians,85000000,183611771,100.0,2000
the santa clause 3: the escape clause,0,84500122,97.0,2006
return from witch mountain,0,16393000,95.0,1978
prom,8000000,10130000,104.0,2011
the wild,80000000,37384046,117.0,2006
valiant,35000000,19478106,76.0,2005
the haunted mansion,90000000,182290266,99.0,2003
jungle 2 jungle,0,0,105.0,1997
hannah montana & miley cyrus: best of both worlds concert,0,0,74.0,2008
tom and huck,0,0,97.0,1995
pocahontas ii: journey to a new world,0,0,72.0,1998
the fox and the hound 2,24000000,0,69.0,2006
"honey, we shrunk ourselves",7000000,0,74.0,1997
the jungle book 2,20000000,135680000,72.0,2003
i'll be home for christmas,30000000,0,86.0,1998
confessions of a teenage drama queen,15000000,29331068,89.0,2004
the brave little toaster to the rescue,0,0,74.0,1997
blank check,13000000,0,93.0,1994
cinderella ii: dreams come true,5000000,0,73.0,2002
belle's magical world,0,0,92.0,1998
tarzan & jane,0,0,75.0,2002
operation dumbo drop,0,0,107.0,1995
herbie goes bananas,0,0,100.0,1980
first kid,0,0,101.0,1996
college road trip,0,68397662,83.0,2008
the hunchback of notre dame ii,0,0,68.0,2002
jonas brothers: the concert experience,0,0,76.0,2009
inspector gadget 2,80000000,0,89.0,2003
doug's 1st movie,0,0,77.0,1999
a kid in king arthur's court,0,0,89.0,1995
george of the jungle 2,0,0,87.0,2003
kazaam,20000000,0,93.0,1996
