imdb_rate,tomatoe_rate,imdb_votes_count,imdb_votes,popularity,movie_rate
6.5,4.9,2403,6.2,2.063266,4.9158165
6.9,9.0,43,6.9,0.322457,5.78061425
7.0,6.8,853,6.5,1.138277,5.35956925
6.6,5.6,867,6.4,2.241935,5.21048375
6.3,8.5,704,6.0,0.757089,5.38927225
6.5,6.5,439,6.0,1.133017,5.03325425
6.8,7.3,217,6.6,0.526992,5.306748
6.7,10.0,52,6.2,0.287418,5.796854499999999
7.1,5.7,851,6.5,2.8464650000000002,5.53661625
7.1,5.7,49,7.3,0.128484,5.057121
7.7,9.6,11,7.8,0.12254300000000001,6.3056357499999995
6.9,6.1,619,6.7,2.28135,5.495337500000001
6.9,6.1,120,6.3,1.613752,5.228438
6.3,6.9,1314,5.8,2.686888,5.421722
6.4,4.1,1764,6.0,1.800286,4.5750715
7.8,8.6,42,7.3,0.140782,5.9601955
6.6,7.1,254,6.2,0.891508,5.197877
6.8,9.0,145,6.7,0.360727,5.71518175
6.5,8.0,276,6.2,1.019335,5.42983375
6.4,6.7,805,6.1,1.0892680000000001,5.072317000000001
6.9,5.3,218,6.9,0.691822,4.9479555
7.5,7.0,75,7.7,0.820691,5.75517275
6.6,2.3,1041,6.3,1.6152309999999999,4.20380775
7.6,9.5,49,7.2,0.08326900000000001,6.09581725
6.3,8.9,110,5.9,0.19733599999999998,5.324334
6.3,8.9,77,5.6,0.126695,5.231673750000001
6.5,5.2,1657,6.1,3.9892309999999997,5.44730775
6.6,5.9,249,6.1,1.041497,4.91037425
6.9,6.6,110,6.3,0.609408,5.102351999999999
6.6,7.4,111,6.0,0.397495,5.09937375
7.0,5.0,103,6.5,0.608679,4.77716975
6.7,3.5,693,6.2,1.303223,4.425805749999999
6.9,7.7,247,6.5,0.6320479999999999,5.433012000000001
6.8,3.6,907,6.5,1.3772389999999999,4.5693097499999995
6.5,5.7,565,5.9,2.391809,5.12295225
6.9,6.7,103,6.6,0.323826,5.130956500000001
7.6,7.5,48,7.8,0.389554,5.8223885
7.2,3.3,904,7.6,2.2950909999999998,5.098772749999999
7.8,8.1,75,7.4,0.6964130000000001,5.99910325
6.9,5.4,265,6.5,1.5681200000000002,5.09203
6.3,7.1,14,4.6,0.314238,4.5785595
6.4,3.3,1273,5.9,1.8887459999999998,4.3721865
6.9,6.2,223,6.6,0.857292,5.139323000000001
6.2,5.0,733,6.1,2.977558,5.0693895
7.0,9.1,47,6.4,0.335002,5.7087505
6.8,4.0,180,6.4,1.3925809999999998,4.64814525
7.3,7.5,177,7.0,1.827148,5.9067870000000005
6.4,5.8,318,5.9,0.61643,4.679107500000001
6.2,7.3,480,5.7,0.836457,5.00911425
6.9,7.3,231,7.1,0.8982959999999999,5.549573999999999
6.5,3.3,1670,5.8,3.7896330000000003,4.84740825
